[2022-02-11 10:26:10,366] MainProcess                       | root    | INFO : starting <session.py>
[2022-02-11 10:26:10,449] MainProcess                       | session | INFO : authentication successfull; ASP.NET_SessionId <pnec3volwratby4fbw4aseqj>
[2022-02-11 10:26:10,450] MainProcess                       | root    | INFO : starting <provide_args.py>
[2022-02-11 10:26:15,923] MainProcess                       | utils   | INFO : saved Spark_GetChangedCompanies_Main_20211220.parquet
[2022-02-11 10:26:16,112] MainProcess                       | utils   | INFO : saved Spark_GetChangedEntrepreneurs_Main_20211220.parquet
[2022-02-11 10:26:16,115] MainProcess                       | root    | INFO : starting <calculation.py>
[2022-02-11 10:26:16,483] GetCompanySparkRisksReportXML     | root    | INFO : GetCompanySparkRisksReportXML num arguments: 68177
[2022-02-11 10:26:16,483] GetCompanyArbitrationSummary      | root    | INFO : GetCompanyArbitrationSummary num arguments: 68177
[2022-02-11 10:26:16,494] GetCompanyArbitrationSummary      | root    | INFO : started consumer
[2022-02-11 10:26:16,495] GetCompanySparkRisksReportXML     | root    | INFO : started consumer
[2022-02-11 10:26:16,496] Parser-1:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:26:16,497] Parser-2:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:27:13,906] Parser-1:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:27:13,930] Parser-1:1                        | sparser | INFO : saved: Spark_GetCompanyArbitrationSummary_FaceResult_20211220.parquet
[2022-02-11 10:27:13,948] Parser-1:1                        | sparser | INFO : saved: Spark_GetCompanyArbitrationSummary_ByType_20211220.parquet
[2022-02-11 10:27:13,973] Parser-1:1                        | sparser | INFO : saved: Spark_GetCompanyArbitrationSummary_ByYear_20211220.parquet
[2022-02-11 10:27:13,987] Parser-1:1                        | sparser | INFO : saved: Spark_GetCompanyArbitrationSummary_Main_20211220.parquet
[2022-02-11 10:27:13,995] GetCompanyArbitrationSummary      | root    | INFO : time elapsed: 57.87264394760132
[2022-02-11 10:27:17,019] Parser-2:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:27:17,084] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_AddInfo_20211220.parquet
[2022-02-11 10:27:17,091] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_Finance_20211220.parquet
[2022-02-11 10:27:17,096] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_Phones_20211220.parquet
[2022-02-11 10:27:17,100] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_ListName_20211220.parquet
[2022-02-11 10:27:17,104] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_Factor_20211220.parquet
[2022-02-11 10:27:17,107] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_Auditors_20211220.parquet
[2022-02-11 10:27:17,112] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_MainCoowners_20211220.parquet
[2022-02-11 10:27:17,160] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_Main_20211220.parquet
[2022-02-11 10:27:17,162] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_SROs_20211220.parquet
[2022-02-11 10:27:17,248] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_FrozenAccounts_20211220.parquet
[2022-02-11 10:27:17,257] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_TaxesFTSDetail_20211220.parquet
[2022-02-11 10:27:17,259] Parser-2:1                        | sparser | INFO : saved: Spark_GetCompanySparkRisksReportXML_TaxesFTS_20211220.parquet
[2022-02-11 10:27:17,275] GetCompanySparkRisksReportXML     | root    | INFO : time elapsed: 61.14881420135498
[2022-02-11 10:27:17,665] GetCompanyLeasings                | root    | INFO : GetCompanyLeasings num arguments: 68177
[2022-02-11 10:27:17,667] GetCompanyPledges                 | root    | INFO : GetCompanyPledges num arguments: 68177
[2022-02-11 10:27:17,677] GetCompanyLeasings                | root    | INFO : started consumer
[2022-02-11 10:27:17,678] Parser-3:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:27:17,678] GetCompanyPledges                 | root    | INFO : started consumer
[2022-02-11 10:27:17,680] Parser-4:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:28:18,696] Parser-4:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:28:18,741] Parser-4:1                        | sparser | INFO : saved: Spark_GetCompanyPledges_PledgesParticipants_20211220.parquet
[2022-02-11 10:28:18,764] Parser-4:1                        | sparser | INFO : saved: Spark_GetCompanyPledges_Pledges_20211220.parquet
[2022-02-11 10:28:18,767] Parser-4:1                        | sparser | INFO : saved: Spark_GetCompanyPledges_Main_20211220.parquet
[2022-02-11 10:28:18,774] GetCompanyPledges                 | root    | INFO : time elapsed: 61.47481179237366
[2022-02-11 10:28:19,438] Parser-3:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:28:19,555] Parser-3:1                        | sparser | INFO : saved: Spark_GetCompanyLeasings_Participants_20211220.parquet
[2022-02-11 10:28:19,688] Parser-3:1                        | sparser | INFO : saved: Spark_GetCompanyLeasings_Leasings_20211220.parquet
[2022-02-11 10:28:19,690] Parser-3:1                        | sparser | INFO : saved: Spark_GetCompanyLeasings_Main_20211220.parquet
[2022-02-11 10:28:19,708] GetCompanyLeasings                | root    | INFO : time elapsed: 62.41285800933838
[2022-02-11 10:28:19,855] GetEntrepreneurArbitrationSummary | root    | INFO : GetEntrepreneurArbitrationSummary num arguments: 21535
[2022-02-11 10:28:19,857] GetEntrepreneurLeasings           | root    | INFO : GetEntrepreneurLeasings num arguments: 21535
[2022-02-11 10:28:19,857] GetEntrepreneurPledges            | root    | INFO : GetEntrepreneurPledges num arguments: 21535
[2022-02-11 10:28:19,867] GetEntrepreneurArbitrationSummary | root    | INFO : started consumer
[2022-02-11 10:28:19,868] GetEntrepreneurLeasings           | root    | INFO : started consumer
[2022-02-11 10:28:19,868] GetEntrepreneurPledges            | root    | INFO : started consumer
[2022-02-11 10:28:19,869] Parser-5:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:28:19,870] Parser-6:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:28:19,870] Parser-7:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:29:49,635] Parser-7:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:29:49,650] Parser-7:1                        | sparser | INFO : saved: Spark_GetEntrepreneurPledges_PledgesParticipants_20211220.parquet
[2022-02-11 10:29:49,653] Parser-7:1                        | sparser | INFO : saved: Spark_GetEntrepreneurPledges_Pledges_20211220.parquet
[2022-02-11 10:29:49,654] Parser-7:1                        | sparser | INFO : saved: Spark_GetEntrepreneurPledges_Main_20211220.parquet
[2022-02-11 10:29:49,660] GetEntrepreneurPledges            | root    | INFO : time elapsed: 89.92515563964844
[2022-02-11 10:29:49,838] Parser-5:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:29:49,843] Parser-5:1                        | sparser | INFO : saved: Spark_GetEntrepreneurArbitrationSummary_FaceResult_20211220.parquet
[2022-02-11 10:29:49,846] Parser-5:1                        | sparser | INFO : saved: Spark_GetEntrepreneurArbitrationSummary_ByType_20211220.parquet
[2022-02-11 10:29:49,848] Parser-5:1                        | sparser | INFO : saved: Spark_GetEntrepreneurArbitrationSummary_ByYear_20211220.parquet
[2022-02-11 10:29:49,853] Parser-5:1                        | sparser | INFO : saved: Spark_GetEntrepreneurArbitrationSummary_Main_20211220.parquet
[2022-02-11 10:29:49,859] GetEntrepreneurArbitrationSummary | root    | INFO : time elapsed: 90.13089919090271
[2022-02-11 10:29:49,891] Parser-6:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:29:49,905] Parser-6:1                        | sparser | INFO : saved: Spark_GetEntrepreneurLeasings_Participants_20211220.parquet
[2022-02-11 10:29:49,907] Parser-6:1                        | sparser | INFO : saved: Spark_GetEntrepreneurLeasings_Leasings_20211220.parquet
[2022-02-11 10:29:49,908] Parser-6:1                        | sparser | INFO : saved: Spark_GetEntrepreneurLeasings_Main_20211220.parquet
[2022-02-11 10:29:49,914] GetEntrepreneurLeasings           | root    | INFO : time elapsed: 90.18229961395264
[2022-02-11 10:29:50,003] GetPledgeReport                   | root    | INFO : GetPledgeReport num arguments: 3800
[2022-02-11 10:29:50,016] GetPledgeReport                   | root    | INFO : started consumer
[2022-02-11 10:29:50,018] Parser-9:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:29:50,023] GetLeasingReport                  | root    | INFO : GetLeasingReport num arguments: 11929
[2022-02-11 10:29:50,036] GetLeasingReport                  | root    | INFO : started consumer
[2022-02-11 10:29:50,037] Parser-8:1                        | sparser | INFO : consumer started processing responses
[2022-02-11 10:30:49,634] Parser-9:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:30:49,648] Parser-9:1                        | sparser | INFO : saved: Spark_GetPledgeReport_Pledges_20211220.parquet
[2022-02-11 10:30:49,840] Parser-9:1                        | sparser | INFO : saved: Spark_GetPledgeReport_Items_20211220.parquet
[2022-02-11 10:30:49,845] Parser-9:1                        | sparser | INFO : saved: Spark_GetPledgeReport_Main_20211220.parquet
[2022-02-11 10:30:49,859] GetPledgeReport                   | root    | INFO : time elapsed: 59.92461824417114
[2022-02-11 10:30:50,034] Parser-8:1                        | sparser | INFO : consumer processed all items in queue (None element found)
[2022-02-11 10:30:50,045] Parser-8:1                        | sparser | INFO : saved: Spark_GetLeasingReport_Report_20211220.parquet
[2022-02-11 10:30:50,050] Parser-8:1                        | sparser | INFO : saved: Spark_GetLeasingReport_Items_20211220.parquet
[2022-02-11 10:30:50,054] Parser-8:1                        | sparser | INFO : saved: Spark_GetLeasingReport_Main_20211220.parquet
[2022-02-11 10:30:50,061] GetLeasingReport                  | root    | INFO : time elapsed: 60.12913179397583
[2022-02-11 10:30:50,446] GetCompanyCounterparties          | root    | INFO : GetCompanyCounterparties num arguments: 68177
[2022-02-11 10:30:50,447] GetCompanyExecutionProceedings    | root    | INFO : GetCompanyExecutionProceedings num arguments: 68177
[2022-02-11 10:30:50,458] GetCompanyExecutionProceedings    | root    | INFO : started consumer
[2022-02-11 10:30:50,458] GetCompanyCounterparties          | root    | INFO : started consumer
[2022-02-11 10:30:50,459] Parser-10:1                       | sparser | INFO : consumer started processing responses
[2022-02-11 10:30:50,459] Parser-11:1                       | sparser | INFO : consumer started processing responses
[2022-02-11 10:31:50,518] GetCompanyCounterparties          | root    | WARNING: __company_1661_4202050996_1164205068598_ request error occured _ 
[2022-02-11 10:31:50,665] GetCompanyExecutionProceedings    | root    | WARNING: __company_1782_7529001079_1027501005608_ request error occured _ 
[2022-02-11 10:31:51,615] GetCompanyCounterparties          | root    | WARNING: __company_2100_7417001747_1027401062325_ request error occured _ 
